Entry	Entry name	Gene names	Gene names  (primary )	Gene names  (synonym )	Gene names  (ordered locus )	Gene names  (ORF )	Organism	Gene ontology (GO)	Gene ontology (biological process)	Gene ontology (molecular function)	Gene ontology (cellular component)	Gene ontology IDs
M1VAF9	M1VAF9_CYAM1	CYME_CMC182C				CYME_CMC182C	Cyanidioschyzon merolae (strain 10D) (Red alga)					
M1UNQ6	M1UNQ6_CYAM1	CYME_CMC114C				CYME_CMC114C	Cyanidioschyzon merolae (strain 10D) (Red alga)	chloroplast [GO:0009507]; proteasome complex [GO:0000502]; ATP binding [GO:0005524]; proteasome-activating ATPase activity [GO:0036402]; protein catabolic process [GO:0030163]	protein catabolic process [GO:0030163]	ATP binding [GO:0005524]; proteasome-activating ATPase activity [GO:0036402]	chloroplast [GO:0009507]; proteasome complex [GO:0000502]	GO:0000502; GO:0005524; GO:0009507; GO:0030163; GO:0036402
M1V9N6	M1V9N6_CYAM1	CYME_CMO321C				CYME_CMO321C	Cyanidioschyzon merolae (strain 10D) (Red alga)					
M1VCF6	M1VCF6_CYAM1	CYME_CMT194C				CYME_CMT194C	Cyanidioschyzon merolae (strain 10D) (Red alga)	cytosol [GO:0005829]; nucleus [GO:0005634]; mRNA binding [GO:0003729]; ribosomal large subunit binding [GO:0043023]; endoplasmic reticulum organization [GO:0007029]; protein export from nucleus [GO:0006611]	endoplasmic reticulum organization [GO:0007029]; protein export from nucleus [GO:0006611]	mRNA binding [GO:0003729]; ribosomal large subunit binding [GO:0043023]	cytosol [GO:0005829]; nucleus [GO:0005634]	GO:0003729; GO:0005634; GO:0005829; GO:0006611; GO:0007029; GO:0043023
M1VFD1	M1VFD1_CYAM1	CYME_CMD180C				CYME_CMD180C	Cyanidioschyzon merolae (strain 10D) (Red alga)	sequence-specific DNA binding [GO:0043565]; zinc ion binding [GO:0008270]; regulation of transcription, DNA-templated [GO:0006355]	regulation of transcription, DNA-templated [GO:0006355]	sequence-specific DNA binding [GO:0043565]; zinc ion binding [GO:0008270]		GO:0006355; GO:0008270; GO:0043565
M1UNI5	M1UNI5_CYAM1	CYME_CMC005C				CYME_CMC005C	Cyanidioschyzon merolae (strain 10D) (Red alga)					
M1URK9	M1URK9_CYAM1	CYME_CMJ132C				CYME_CMJ132C	Cyanidioschyzon merolae (strain 10D) (Red alga)	integral component of membrane [GO:0016021]; lipid metabolic process [GO:0006629]	lipid metabolic process [GO:0006629]		integral component of membrane [GO:0016021]	GO:0006629; GO:0016021
M1UW68	M1UW68_CYAM1	CYME_CMR092C				CYME_CMR092C	Cyanidioschyzon merolae (strain 10D) (Red alga)	lyase activity [GO:0016829]; protein-phycocyanobilin linkage [GO:0017009]	protein-phycocyanobilin linkage [GO:0017009]	lyase activity [GO:0016829]		GO:0016829; GO:0017009
M1UPH4	M1UPH4_CYAM1	CYME_CME086C				CYME_CME086C	Cyanidioschyzon merolae (strain 10D) (Red alga)					
M1V537	M1V537_CYAM1	CYME_CMI098C				CYME_CMI098C	Cyanidioschyzon merolae (strain 10D) (Red alga)	chloroplast [GO:0009507]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation elongation factor activity [GO:0003746]		GTPase activity [GO:0003924]; GTP binding [GO:0005525]; translation elongation factor activity [GO:0003746]	chloroplast [GO:0009507]	GO:0003746; GO:0003924; GO:0005525; GO:0009507
M1V7X5	M1V7X5_CYAM1	CYME_CMT568C				CYME_CMT568C	Cyanidioschyzon merolae (strain 10D) (Red alga)	clathrin-coated vesicle [GO:0030136]; 1-phosphatidylinositol binding [GO:0005545]; clathrin binding [GO:0030276]; clathrin coat assembly [GO:0048268]	clathrin coat assembly [GO:0048268]	1-phosphatidylinositol binding [GO:0005545]; clathrin binding [GO:0030276]	clathrin-coated vesicle [GO:0030136]	GO:0005545; GO:0030136; GO:0030276; GO:0048268
M1V704	M1V704_CYAM1	CYME_CME126C				CYME_CME126C	Cyanidioschyzon merolae (strain 10D) (Red alga)	calcium ion binding [GO:0005509]		calcium ion binding [GO:0005509]		GO:0005509
M1UNJ8	M1UNJ8_CYAM1	CYME_CMC025C				CYME_CMC025C	Cyanidioschyzon merolae (strain 10D) (Red alga)	integral component of membrane [GO:0016021]; hydrolase activity [GO:0016787]		hydrolase activity [GO:0016787]	integral component of membrane [GO:0016021]	GO:0016021; GO:0016787
M1VLN9	M1VLN9_CYAM1	CYME_CMR490C				CYME_CMR490C	Cyanidioschyzon merolae (strain 10D) (Red alga)					
M1UUX6	M1UUX6_CYAM1	CYME_CMP043C				CYME_CMP043C	Cyanidioschyzon merolae (strain 10D) (Red alga)	DNA binding [GO:0003677]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; protein dimerization activity [GO:0046983]; transcription, DNA-templated [GO:0006351]	transcription, DNA-templated [GO:0006351]	DNA binding [GO:0003677]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; protein dimerization activity [GO:0046983]		GO:0003677; GO:0003899; GO:0006351; GO:0046983
M1VBV7	M1VBV7_CYAM1	CYME_CMH242C				CYME_CMH242C	Cyanidioschyzon merolae (strain 10D) (Red alga)	lipid binding [GO:0008289]; lipid transport [GO:0006869]	lipid transport [GO:0006869]	lipid binding [GO:0008289]		GO:0006869; GO:0008289
M1UNZ2	M1UNZ2_CYAM1	CYME_CMD057C				CYME_CMD057C	Cyanidioschyzon merolae (strain 10D) (Red alga)	integral component of membrane [GO:0016021]			integral component of membrane [GO:0016021]	GO:0016021
M1VKB3	M1VKB3_CYAM1	CYME_CMP314C				CYME_CMP314C	Cyanidioschyzon merolae (strain 10D) (Red alga)					
M1VK78	M1VK78_CYAM1	CYME_CMP216C				CYME_CMP216C	Cyanidioschyzon merolae (strain 10D) (Red alga)	ATP binding [GO:0005524]; CTP synthase activity [GO:0003883]; 'de novo' CTP biosynthetic process [GO:0044210]; glutamine metabolic process [GO:0006541]	'de novo' CTP biosynthetic process [GO:0044210]; glutamine metabolic process [GO:0006541]	ATP binding [GO:0005524]; CTP synthase activity [GO:0003883]		GO:0003883; GO:0005524; GO:0006541; GO:0044210
M1UTC0	M1UTC0_CYAM1	CYME_CMM160C				CYME_CMM160C	Cyanidioschyzon merolae (strain 10D) (Red alga)	transcription factor TFIIH core complex [GO:0000439]; ATPase activator activity [GO:0001671]; nucleotide-excision repair [GO:0006289]	nucleotide-excision repair [GO:0006289]	ATPase activator activity [GO:0001671]	transcription factor TFIIH core complex [GO:0000439]	GO:0000439; GO:0001671; GO:0006289
M1VEB9	M1VEB9_CYAM1	CYME_CMA128C				CYME_CMA128C	Cyanidioschyzon merolae (strain 10D) (Red alga)	integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; mitochondrial respiratory chain complex I assembly [GO:0032981]	mitochondrial respiratory chain complex I assembly [GO:0032981]		integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]	GO:0005743; GO:0016021; GO:0032981
M1VEF7	M1VEF7_CYAM1	CYME_CMN171C				CYME_CMN171C	Cyanidioschyzon merolae (strain 10D) (Red alga)					
M1UWR7	M1UWR7_CYAM1	CYME_CMS099C				CYME_CMS099C	Cyanidioschyzon merolae (strain 10D) (Red alga)					
M1VCH7	M1VCH7_CYAM1	CYME_CMT231C				CYME_CMT231C	Cyanidioschyzon merolae (strain 10D) (Red alga)	integral component of membrane [GO:0016021]			integral component of membrane [GO:0016021]	GO:0016021
M1VGL4	M1VGL4_CYAM1	CYME_CMR011C				CYME_CMR011C	Cyanidioschyzon merolae (strain 10D) (Red alga)	kinase activity [GO:0016301]		kinase activity [GO:0016301]		GO:0016301
M1VBV1	M1VBV1_CYAM1	CYME_CMS254C				CYME_CMS254C	Cyanidioschyzon merolae (strain 10D) (Red alga)	integral component of membrane [GO:0016021]; lipid metabolic process [GO:0006629]	lipid metabolic process [GO:0006629]		integral component of membrane [GO:0016021]	GO:0006629; GO:0016021
M1V6C2	M1V6C2_CYAM1	CYME_CMA089C				CYME_CMA089C	Cyanidioschyzon merolae (strain 10D) (Red alga)	nucleus [GO:0005634]			nucleus [GO:0005634]	GO:0005634
M1VH26	M1VH26_CYAM1	CYME_CMI233C				CYME_CMI233C	Cyanidioschyzon merolae (strain 10D) (Red alga)	ATP binding [GO:0005524]; glutamate-ammonia ligase activity [GO:0004356]; glutamine biosynthetic process [GO:0006542]	glutamine biosynthetic process [GO:0006542]	ATP binding [GO:0005524]; glutamate-ammonia ligase activity [GO:0004356]		GO:0004356; GO:0005524; GO:0006542
M1V8K1	M1V8K1_CYAM1	CYME_CML087C				CYME_CML087C	Cyanidioschyzon merolae (strain 10D) (Red alga)	N-acetyltransferase activity [GO:0008080]		N-acetyltransferase activity [GO:0008080]		GO:0008080
M1UTT4	M1UTT4_CYAM1	CYME_CMN116C				CYME_CMN116C	Cyanidioschyzon merolae (strain 10D) (Red alga)					
M1VI61	M1VI61_CYAM1	CYME_CMT218C				CYME_CMT218C	Cyanidioschyzon merolae (strain 10D) (Red alga)	integral component of membrane [GO:0016021]			integral component of membrane [GO:0016021]	GO:0016021
M1VDF0	M1VDF0_CYAM1	CYME_CML177C				CYME_CML177C	Cyanidioschyzon merolae (strain 10D) (Red alga)					
M1V6D2	M1V6D2_CYAM1	CYME_CMQ203C				CYME_CMQ203C	Cyanidioschyzon merolae (strain 10D) (Red alga)					
M1V6F2	M1V6F2_CYAM1	CYME_CMB050C				CYME_CMB050C	Cyanidioschyzon merolae (strain 10D) (Red alga)					
M1VLY4	M1VLY4_CYAM1	CYME_CMS204C				CYME_CMS204C	Cyanidioschyzon merolae (strain 10D) (Red alga)	integral component of membrane [GO:0016021]			integral component of membrane [GO:0016021]	GO:0016021
M1VMP6	M1VMP6_CYAM1	CYME_CMT472C				CYME_CMT472C	Cyanidioschyzon merolae (strain 10D) (Red alga)	peptidyl-prolyl cis-trans isomerase activity [GO:0003755]		peptidyl-prolyl cis-trans isomerase activity [GO:0003755]		GO:0003755
M1V6H1	M1V6H1_CYAM1	CYME_CMB119C				CYME_CMB119C	Cyanidioschyzon merolae (strain 10D) (Red alga)	chloroplast [GO:0009507]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; cell division [GO:0051301]	cell division [GO:0051301]	ATPase activity [GO:0016887]; ATP binding [GO:0005524]	chloroplast [GO:0009507]	GO:0005524; GO:0009507; GO:0016887; GO:0051301
M1VEP4	M1VEP4_CYAM1	CYME_CMC045C				CYME_CMC045C	Cyanidioschyzon merolae (strain 10D) (Red alga)	cytoplasm [GO:0005737]; nucleus [GO:0005634]; ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	structural constituent of ribosome [GO:0003735]	cytoplasm [GO:0005737]; nucleus [GO:0005634]; ribosome [GO:0005840]	GO:0003735; GO:0005634; GO:0005737; GO:0005840; GO:0006412
M1VFM0	M1VFM0_CYAM1	CYME_CMP133C				CYME_CMP133C	Cyanidioschyzon merolae (strain 10D) (Red alga)	mitochondrion [GO:0005739]; lipid binding [GO:0008289]; ubiquinone biosynthetic process [GO:0006744]	ubiquinone biosynthetic process [GO:0006744]	lipid binding [GO:0008289]	mitochondrion [GO:0005739]	GO:0005739; GO:0006744; GO:0008289
M1UUC3	M1UUC3_CYAM1	CYME_CMO063C				CYME_CMO063C	Cyanidioschyzon merolae (strain 10D) (Red alga)	ubiquitin protein ligase activity [GO:0061630]; zinc ion binding [GO:0008270]		ubiquitin protein ligase activity [GO:0061630]; zinc ion binding [GO:0008270]		GO:0008270; GO:0061630
M1VGA8	M1VGA8_CYAM1	CYME_CMQ270C				CYME_CMQ270C	Cyanidioschyzon merolae (strain 10D) (Red alga)	ATP binding [GO:0005524]; ATPase activity [GO:0016887]; protein refolding [GO:0042026]	protein refolding [GO:0042026]	ATPase activity [GO:0016887]; ATP binding [GO:0005524]		GO:0005524; GO:0016887; GO:0042026
M1UV71	M1UV71_CYAM1	CYME_CMP165C				CYME_CMP165C	Cyanidioschyzon merolae (strain 10D) (Red alga)	integral component of membrane [GO:0016021]			integral component of membrane [GO:0016021]	GO:0016021
M1V9V2	M1V9V2_CYAM1	CYME_CMP116C				CYME_CMP116C	Cyanidioschyzon merolae (strain 10D) (Red alga)					
M1UR64	M1UR64_CYAM1	CYME_CMI215C				CYME_CMI215C	Cyanidioschyzon merolae (strain 10D) (Red alga)	GDP-dissociation inhibitor activity [GO:0005092]; small GTPase mediated signal transduction [GO:0007264]	small GTPase mediated signal transduction [GO:0007264]	GDP-dissociation inhibitor activity [GO:0005092]		GO:0005092; GO:0007264
M1VG23	M1VG23_CYAM1	CYME_CMG033C				CYME_CMG033C	Cyanidioschyzon merolae (strain 10D) (Red alga)					
M1VFL0	M1VFL0_CYAM1	CYME_CME082C				CYME_CME082C	Cyanidioschyzon merolae (strain 10D) (Red alga)	chloroplast [GO:0009507]; cell division [GO:0051301]	cell division [GO:0051301]		chloroplast [GO:0009507]	GO:0009507; GO:0051301
M1V435	M1V435_CYAM1	CYME_CMD023C				CYME_CMD023C	Cyanidioschyzon merolae (strain 10D) (Red alga)	transferase activity [GO:0016740]		transferase activity [GO:0016740]		GO:0016740
M1V7S5	M1V7S5_CYAM1	CYME_CMI169C				CYME_CMI169C	Cyanidioschyzon merolae (strain 10D) (Red alga)	mismatch repair complex [GO:0032300]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; mismatched DNA binding [GO:0030983]; mismatch repair [GO:0006298]	mismatch repair [GO:0006298]	ATPase activity [GO:0016887]; ATP binding [GO:0005524]; mismatched DNA binding [GO:0030983]	mismatch repair complex [GO:0032300]	GO:0005524; GO:0006298; GO:0016887; GO:0030983; GO:0032300
M1VE69	M1VE69_CYAM1	CYME_CMN048C				CYME_CMN048C	Cyanidioschyzon merolae (strain 10D) (Red alga)	N-acetyl-gamma-glutamyl-phosphate reductase activity [GO:0003942]; NAD binding [GO:0051287]; protein dimerization activity [GO:0046983]; arginine biosynthetic process [GO:0006526]	arginine biosynthetic process [GO:0006526]	N-acetyl-gamma-glutamyl-phosphate reductase activity [GO:0003942]; NAD binding [GO:0051287]; protein dimerization activity [GO:0046983]		GO:0003942; GO:0006526; GO:0046983; GO:0051287
M1V4C9	M1V4C9_CYAM1	CYME_CME023C				CYME_CME023C	Cyanidioschyzon merolae (strain 10D) (Red alga)	5-amino-4-imidazole carboxylate lyase activity [GO:0043727]; ATP binding [GO:0005524]; phosphoribosylaminoimidazole carboxylase activity [GO:0004638]; phosphoribosylaminoimidazolesuccinocarboxamide synthase activity [GO:0004639]; 'de novo' IMP biosynthetic process [GO:0006189]	'de novo' IMP biosynthetic process [GO:0006189]	5-amino-4-imidazole carboxylate lyase activity [GO:0043727]; ATP binding [GO:0005524]; phosphoribosylaminoimidazole carboxylase activity [GO:0004638]; phosphoribosylaminoimidazolesuccinocarboxamide synthase activity [GO:0004639]		GO:0004638; GO:0004639; GO:0005524; GO:0006189; GO:0043727
M1V9J9	M1V9J9_CYAM1	CYME_CMO219C				CYME_CMO219C	Cyanidioschyzon merolae (strain 10D) (Red alga)	metal ion binding [GO:0046872]; metallopeptidase activity [GO:0008237]		metal ion binding [GO:0046872]; metallopeptidase activity [GO:0008237]		GO:0008237; GO:0046872
M1VL45	M1VL45_CYAM1	CYME_CMR109C				CYME_CMR109C	Cyanidioschyzon merolae (strain 10D) (Red alga)	chloroplast [GO:0009507]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]		GTPase activity [GO:0003924]; GTP binding [GO:0005525]	chloroplast [GO:0009507]	GO:0003924; GO:0005525; GO:0009507
M1UX42	M1UX42_CYAM1	CYME_CMS370C				CYME_CMS370C	Cyanidioschyzon merolae (strain 10D) (Red alga)	methyltransferase activity [GO:0008168]; methylation [GO:0032259]	methylation [GO:0032259]	methyltransferase activity [GO:0008168]		GO:0008168; GO:0032259
M1VM81	M1VM81_CYAM1	CYME_CMT010C				CYME_CMT010C	Cyanidioschyzon merolae (strain 10D) (Red alga)					
M1V5G0	M1V5G0_CYAM1	CYME_CMK259C				CYME_CMK259C	Cyanidioschyzon merolae (strain 10D) (Red alga)					
M1VER8	M1VER8_CYAM1	CYME_CMO020C				CYME_CMO020C	Cyanidioschyzon merolae (strain 10D) (Red alga)					
M1VEA4	M1VEA4_CYAM1	CYME_CMN105C				CYME_CMN105C	Cyanidioschyzon merolae (strain 10D) (Red alga)	chloroplast [GO:0009507]; integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; ATPase-coupled transmembrane transporter activity [GO:0042626]		ATPase-coupled transmembrane transporter activity [GO:0042626]; ATP binding [GO:0005524]	chloroplast [GO:0009507]; integral component of membrane [GO:0016021]	GO:0005524; GO:0009507; GO:0016021; GO:0042626
M1UQ35	M1UQ35_CYAM1	CYME_CMG098C				CYME_CMG098C	Cyanidioschyzon merolae (strain 10D) (Red alga)	integral component of membrane [GO:0016021]			integral component of membrane [GO:0016021]	GO:0016021
M1V5K3	M1V5K3_CYAM1	CYME_CML228C				CYME_CML228C	Cyanidioschyzon merolae (strain 10D) (Red alga)	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]		ATP binding [GO:0005524]; protein kinase activity [GO:0004672]		GO:0004672; GO:0005524
M1V3H6	M1V3H6_CYAM1	CYME_CMA031C				CYME_CMA031C	Cyanidioschyzon merolae (strain 10D) (Red alga)					
M1VKE2	M1VKE2_CYAM1	CYME_CMQ017C				CYME_CMQ017C	Cyanidioschyzon merolae (strain 10D) (Red alga)	nucleic acid binding [GO:0003676]		nucleic acid binding [GO:0003676]		GO:0003676
M1V7I4	M1V7I4_CYAM1	CYME_CMT118C				CYME_CMT118C	Cyanidioschyzon merolae (strain 10D) (Red alga)	translation release factor activity [GO:0003747]		translation release factor activity [GO:0003747]		GO:0003747
M1V7V6	M1V7V6_CYAM1	CYME_CMI241C				CYME_CMI241C	Cyanidioschyzon merolae (strain 10D) (Red alga)	serine-type peptidase activity [GO:0008236]		serine-type peptidase activity [GO:0008236]		GO:0008236
M1VL59	M1VL59_CYAM1	CYME_CMR143C				CYME_CMR143C	Cyanidioschyzon merolae (strain 10D) (Red alga)	nucleolar ribonuclease P complex [GO:0005655]; ribonuclease MRP complex [GO:0000172]; tRNA 5'-leader removal [GO:0001682]	tRNA 5'-leader removal [GO:0001682]		nucleolar ribonuclease P complex [GO:0005655]; ribonuclease MRP complex [GO:0000172]	GO:0000172; GO:0001682; GO:0005655
M1VHY5	M1VHY5_CYAM1	CYME_CMT054C				CYME_CMT054C	Cyanidioschyzon merolae (strain 10D) (Red alga)	integral component of membrane [GO:0016021]			integral component of membrane [GO:0016021]	GO:0016021
M1VG94	M1VG94_CYAM1	CYME_CMG161C				CYME_CMG161C	Cyanidioschyzon merolae (strain 10D) (Red alga)	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]		ATP binding [GO:0005524]; protein kinase activity [GO:0004672]		GO:0004672; GO:0005524
M1V821	M1V821_CYAM1	CYME_CMJ109C				CYME_CMJ109C	Cyanidioschyzon merolae (strain 10D) (Red alga)	ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	structural constituent of ribosome [GO:0003735]	ribosome [GO:0005840]	GO:0003735; GO:0005840; GO:0006412
M1V7A1	M1V7A1_CYAM1	CYME_CMG102C				CYME_CMG102C	Cyanidioschyzon merolae (strain 10D) (Red alga)	integral component of membrane [GO:0016021]; metal ion transmembrane transporter activity [GO:0046873]		metal ion transmembrane transporter activity [GO:0046873]	integral component of membrane [GO:0016021]	GO:0016021; GO:0046873
M1UNP2	M1UNP2_CYAM1	CYME_CMC092C				CYME_CMC092C	Cyanidioschyzon merolae (strain 10D) (Red alga)	tRNA (uracil) methyltransferase activity [GO:0016300]; tRNA wobble uridine modification [GO:0002098]	tRNA wobble uridine modification [GO:0002098]	tRNA (uracil) methyltransferase activity [GO:0016300]		GO:0002098; GO:0016300
M1VF97	M1VF97_CYAM1	CYME_CMD129C				CYME_CMD129C	Cyanidioschyzon merolae (strain 10D) (Red alga)	ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA helicase activity [GO:0003678]; hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides [GO:0016818]; nucleobase-containing compound metabolic process [GO:0006139]	nucleobase-containing compound metabolic process [GO:0006139]	ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA helicase activity [GO:0003678]; hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides [GO:0016818]		GO:0003677; GO:0003678; GO:0005524; GO:0006139; GO:0016818
M1VG56	M1VG56_CYAM1	CYME_CMG089C				CYME_CMG089C	Cyanidioschyzon merolae (strain 10D) (Red alga)	integral component of membrane [GO:0016021]; oxidoreductase activity [GO:0016491]		oxidoreductase activity [GO:0016491]	integral component of membrane [GO:0016021]	GO:0016021; GO:0016491
M1UQB5	M1UQB5_CYAM1	CYME_CMG214C				CYME_CMG214C	Cyanidioschyzon merolae (strain 10D) (Red alga)	integral component of membrane [GO:0016021]			integral component of membrane [GO:0016021]	GO:0016021
M1VJI9	M1VJI9_CYAM1	CYME_CMO128C				CYME_CMO128C	Cyanidioschyzon merolae (strain 10D) (Red alga)	metal ion binding [GO:0046872]; transketolase activity [GO:0004802]		metal ion binding [GO:0046872]; transketolase activity [GO:0004802]		GO:0004802; GO:0046872
M1V6W2	M1V6W2_CYAM1	CYME_CMR363C				CYME_CMR363C	Cyanidioschyzon merolae (strain 10D) (Red alga)					
M1VC87	M1VC87_CYAM1	CYME_CMI251C				CYME_CMI251C	Cyanidioschyzon merolae (strain 10D) (Red alga)	chloroplast [GO:0009507]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; protein refolding [GO:0042026]; response to heat [GO:0009408]	protein refolding [GO:0042026]; response to heat [GO:0009408]	ATPase activity [GO:0016887]; ATP binding [GO:0005524]	chloroplast [GO:0009507]	GO:0005524; GO:0009408; GO:0009507; GO:0016887; GO:0042026
M1VIX1	M1VIX1_CYAM1	CYME_CMN002C				CYME_CMN002C	Cyanidioschyzon merolae (strain 10D) (Red alga)	integral component of membrane [GO:0016021]			integral component of membrane [GO:0016021]	GO:0016021
M1V7D0	M1V7D0_CYAM1	CYME_CMG182C				CYME_CMG182C	Cyanidioschyzon merolae (strain 10D) (Red alga)	N-acetyltransferase activity [GO:0008080]		N-acetyltransferase activity [GO:0008080]		GO:0008080
M1US06	M1US06_CYAM1	CYME_CMK016C				CYME_CMK016C	Cyanidioschyzon merolae (strain 10D) (Red alga)	adenosine kinase activity [GO:0004001]; AMP salvage [GO:0044209]; purine ribonucleoside salvage [GO:0006166]	AMP salvage [GO:0044209]; purine ribonucleoside salvage [GO:0006166]	adenosine kinase activity [GO:0004001]		GO:0004001; GO:0006166; GO:0044209
M1V7Q2	M1V7Q2_CYAM1	CYME_CMT315C				CYME_CMT315C	Cyanidioschyzon merolae (strain 10D) (Red alga)	3'-5'-exoribonuclease activity [GO:0000175]; nucleic acid binding [GO:0003676]		3'-5'-exoribonuclease activity [GO:0000175]; nucleic acid binding [GO:0003676]		GO:0000175; GO:0003676
M1VCZ4	M1VCZ4_CYAM1	CYME_CMT537C				CYME_CMT537C	Cyanidioschyzon merolae (strain 10D) (Red alga)	RNA methyltransferase activity [GO:0008173]; RNA processing [GO:0006396]	RNA processing [GO:0006396]	RNA methyltransferase activity [GO:0008173]		GO:0006396; GO:0008173
M1VKS3	M1VKS3_CYAM1	CYME_CMQ278C				CYME_CMQ278C	Cyanidioschyzon merolae (strain 10D) (Red alga)	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase activity [GO:0003848]; ATP binding [GO:0005524]; dihydropteroate synthase activity [GO:0004156]; kinase activity [GO:0016301]; metal ion binding [GO:0046872]; folic acid biosynthetic process [GO:0046656]; tetrahydrofolate biosynthetic process [GO:0046654]	folic acid biosynthetic process [GO:0046656]; tetrahydrofolate biosynthetic process [GO:0046654]	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase activity [GO:0003848]; ATP binding [GO:0005524]; dihydropteroate synthase activity [GO:0004156]; kinase activity [GO:0016301]; metal ion binding [GO:0046872]		GO:0003848; GO:0004156; GO:0005524; GO:0016301; GO:0046654; GO:0046656; GO:0046872
M1V6T1	M1V6T1_CYAM1	CYME_CMD194C				CYME_CMD194C	Cyanidioschyzon merolae (strain 10D) (Red alga)	integral component of membrane [GO:0016021]; protein transport [GO:0015031]	protein transport [GO:0015031]		integral component of membrane [GO:0016021]	GO:0015031; GO:0016021
M1V5P8	M1V5P8_CYAM1	CYME_CMM194C				CYME_CMM194C	Cyanidioschyzon merolae (strain 10D) (Red alga)	methyltransferase activity [GO:0008168]; methylation [GO:0032259]	methylation [GO:0032259]	methyltransferase activity [GO:0008168]		GO:0008168; GO:0032259
M1V9V7	M1V9V7_CYAM1	CYME_CMA067C				CYME_CMA067C	Cyanidioschyzon merolae (strain 10D) (Red alga)	large ribosomal subunit [GO:0015934]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	structural constituent of ribosome [GO:0003735]	large ribosomal subunit [GO:0015934]	GO:0003735; GO:0006412; GO:0015934
M1VCR7	M1VCR7_CYAM1	CYME_CMT362C				CYME_CMT362C	Cyanidioschyzon merolae (strain 10D) (Red alga)	metal ion binding [GO:0046872]; phosphatase activity [GO:0016791]; carbohydrate metabolic process [GO:0005975]	carbohydrate metabolic process [GO:0005975]	metal ion binding [GO:0046872]; phosphatase activity [GO:0016791]		GO:0005975; GO:0016791; GO:0046872
M1URV7	M1URV7_CYAM1	CYME_CMJ234C				CYME_CMJ234C	Cyanidioschyzon merolae (strain 10D) (Red alga)	5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity [GO:0003871]; zinc ion binding [GO:0008270]; methionine biosynthetic process [GO:0009086]; methylation [GO:0032259]	methionine biosynthetic process [GO:0009086]; methylation [GO:0032259]	5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity [GO:0003871]; zinc ion binding [GO:0008270]		GO:0003871; GO:0008270; GO:0009086; GO:0032259
Q85G28	Q85G28_CYAM1	ycf27	ycf27				Cyanidioschyzon merolae (strain 10D) (Red alga)	chloroplast [GO:0009507]; DNA binding [GO:0003677]; phosphorelay signal transduction system [GO:0000160]; regulation of transcription, DNA-templated [GO:0006355]	phosphorelay signal transduction system [GO:0000160]; regulation of transcription, DNA-templated [GO:0006355]	DNA binding [GO:0003677]	chloroplast [GO:0009507]	GO:0000160; GO:0003677; GO:0006355; GO:0009507
M1V9E8	M1V9E8_CYAM1	CYME_CMO075C				CYME_CMO075C	Cyanidioschyzon merolae (strain 10D) (Red alga)					
M1VCH5	M1VCH5_CYAM1	CYME_CMJ138C				CYME_CMJ138C	Cyanidioschyzon merolae (strain 10D) (Red alga)	integral component of membrane [GO:0016021]; metal ion transmembrane transporter activity [GO:0046873]		metal ion transmembrane transporter activity [GO:0046873]	integral component of membrane [GO:0016021]	GO:0016021; GO:0046873
M1VM65	M1VM65_CYAM1	CYME_CMS456C				CYME_CMS456C	Cyanidioschyzon merolae (strain 10D) (Red alga)	rRNA processing [GO:0006364]	rRNA processing [GO:0006364]			GO:0006364
M1V8J7	M1V8J7_CYAM1	CYME_CML075C				CYME_CML075C	Cyanidioschyzon merolae (strain 10D) (Red alga)	integral component of membrane [GO:0016021]			integral component of membrane [GO:0016021]	GO:0016021
M1V8R1	M1V8R1_CYAM1	CYME_CML254C				CYME_CML254C	Cyanidioschyzon merolae (strain 10D) (Red alga)					
M1V561	M1V561_CYAM1	CYME_CMI242C				CYME_CMI242C	Cyanidioschyzon merolae (strain 10D) (Red alga)					
M1V6C3	M1V6C3_CYAM1	CYME_CMQ170C				CYME_CMQ170C	Cyanidioschyzon merolae (strain 10D) (Red alga)					
