	Entry	Entry name	Gene names	Gene names  (primary )	Gene names  (synonym )	Gene names  (ordered locus )	Gene names  (ORF )	Protein names	Function [CC]	Proteomes	Organism	Status	Gene ontology (GO)	Gene ontology (biological process)	Gene ontology (molecular function)	Gene ontology (cellular component)	Gene ontology IDs	Fragment	Gene encoded by	RNA editing	DNA binding	ChEBI (Cofactor)	Keywords	Interacts with	Post-translational modification	Features	Cross-reference (KEGG)
CMM287C	M1V910	M1V910_CYAM1	CYME_CMM287C				CYME_CMM287C	Magnesium transporter		UP000007014: Chromosome 13	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; ion transport [GO:0006811]	ion transport [GO:0006811]		integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]	GO:0005743; GO:0006811; GO:0016021						Coiled coil;Ion transport;Magnesium;Membrane;Mitochondrion;Mitochondrion inner membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport			Coiled coil (1); Region (2); Transmembrane (2)	cme:CYME_CMM287C;
CMM288C	M1V5R2	M1V5R2_CYAM1	CYME_CMM288C				CYME_CMM288C	Magnesium transporter		UP000007014: Chromosome 13	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; ion transport [GO:0006811]	ion transport [GO:0006811]		integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]	GO:0005743; GO:0006811; GO:0016021						Ion transport;Magnesium;Membrane;Mitochondrion;Mitochondrion inner membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport			Region (1); Transmembrane (2)	cme:CYME_CMM288C;
CMM289C	M1UTI7	M1UTI7_CYAM1	CYME_CMM289C				CYME_CMM289C	Molybdopterin synthase sulphurylase MoeB		UP000007014: Chromosome 13	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	ATP binding [GO:0005524]; ubiquitin-like modifier activating enzyme activity [GO:0008641]		ATP binding [GO:0005524]; ubiquitin-like modifier activating enzyme activity [GO:0008641]		GO:0005524; GO:0008641						ATP-binding;Nucleotide-binding;Reference proteome			Compositional bias (4); Domain (1); Region (3)	cme:CYME_CMM289C;
CMM290C	M1VE06	M1VE06_CYAM1	CYME_CMM290C				CYME_CMM290C	Uncharacterized protein		UP000007014: Chromosome 13	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed											Reference proteome			Region (1)	cme:CYME_CMM290C;
CMM291C	M1VIU5	M1VIU5_CYAM1	CYME_CMM291C				CYME_CMM291C	Cullin 3		UP000007014: Chromosome 13	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	ubiquitin protein ligase binding [GO:0031625]; ubiquitin-dependent protein catabolic process [GO:0006511]	ubiquitin-dependent protein catabolic process [GO:0006511]	ubiquitin protein ligase binding [GO:0031625]		GO:0006511; GO:0031625						Reference proteome			Domain (1)	cme:CYME_CMM291C;
CMM292C	M1V912	M1V912_CYAM1	CYME_CMM292C				CYME_CMM292C	DegP protease		UP000007014: Chromosome 13	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	serine-type endopeptidase activity [GO:0004252]		serine-type endopeptidase activity [GO:0004252]		GO:0004252						Hydrolase;Protease;Reference proteome			Compositional bias (1); Domain (1); Region (2)	cme:CYME_CMM292C;
CMM293C	M1V5R3	M1V5R3_CYAM1	CYME_CMM293C				CYME_CMM293C	Methyltransf_21 domain-containing protein		UP000007014: Chromosome 13	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed											Reference proteome			Domain (1)	cme:CYME_CMM293C;
CMM294C	M1UTJ2	M1UTJ2_CYAM1	CYME_CMM294C				CYME_CMM294C	NADPH:adrenodoxin oxidoreductase, mitochondrial (EC 1.18.1.6)		UP000007014: Chromosome 13	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	mitochondrion [GO:0005739]; NADPH-adrenodoxin reductase activity [GO:0015039]		NADPH-adrenodoxin reductase activity [GO:0015039]	mitochondrion [GO:0005739]	GO:0005739; GO:0015039					FAD [CHEBI:57692]	Coiled coil;FAD;Flavoprotein;Mitochondrion;NADP;Oxidoreductase;Reference proteome			Binding site (7); Coiled coil (1); Nucleotide binding (3); Region (1)	cme:CYME_CMM294C;
CMM295C	M1VE12	M1VE12_CYAM1	CYME_CMM295C				CYME_CMM295C	Uncharacterized protein		UP000007014: Chromosome 13	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed											Reference proteome			Region (1)	cme:CYME_CMM295C;
CMM296C	M1VIU9	M1VIU9_CYAM1	CYME_CMM296C				CYME_CMM296C	Aldehyde reductase		UP000007014: Chromosome 13	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	D-threo-aldose 1-dehydrogenase activity [GO:0047834]		D-threo-aldose 1-dehydrogenase activity [GO:0047834]		GO:0047834						Reference proteome			Active site (1); Binding site (1); Domain (1); Site (1)	cme:CYME_CMM296C;
CMM297C	M1V914	M1V914_CYAM1	CYME_CMM297C				CYME_CMM297C	ULP_PROTEASE domain-containing protein		UP000007014: Chromosome 13	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	cysteine-type peptidase activity [GO:0008234]		cysteine-type peptidase activity [GO:0008234]		GO:0008234						Reference proteome			Domain (1)	cme:CYME_CMM297C;
CMM298C	M1V5R4	M1V5R4_CYAM1	CYME_CMM298C				CYME_CMM298C	DAO domain-containing protein		UP000007014: Chromosome 13	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	flavin adenine dinucleotide binding [GO:0050660]; oxidoreductase activity [GO:0016491]; thiamine diphosphate biosynthetic process [GO:0009229]	thiamine diphosphate biosynthetic process [GO:0009229]	flavin adenine dinucleotide binding [GO:0050660]; oxidoreductase activity [GO:0016491]		GO:0009229; GO:0016491; GO:0050660						Oxidoreductase;Reference proteome			Compositional bias (3); Domain (1); Region (5)	cme:CYME_CMM298C;
CMM299C	M1UTJ6	M1UTJ6_CYAM1	CYME_CMM299C				CYME_CMM299C	Dihydrolipoyl dehydrogenase (EC 1.8.1.4)		UP000007014: Chromosome 13	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	dihydrolipoyl dehydrogenase activity [GO:0004148]; flavin adenine dinucleotide binding [GO:0050660]; cell redox homeostasis [GO:0045454]	cell redox homeostasis [GO:0045454]	dihydrolipoyl dehydrogenase activity [GO:0004148]; flavin adenine dinucleotide binding [GO:0050660]		GO:0004148; GO:0045454; GO:0050660					FAD [CHEBI:57692]	Disulfide bond;FAD;Flavoprotein;NAD;Nucleotide-binding;Oxidoreductase;Redox-active center;Reference proteome			Active site (1); Binding site (5); Disulfide bond (1); Domain (2); Nucleotide binding (3)	cme:CYME_CMM299C;
CMM300C	M1VE17	M1VE17_CYAM1	CYME_CMM300C				CYME_CMM300C	Polyketide_cyc domain-containing protein		UP000007014: Chromosome 13	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed											Reference proteome			Domain (1); Region (1)	cme:CYME_CMM300C;
CMM305C	M1VIV3	M1VIV3_CYAM1	CYME_CMM305C				CYME_CMM305C	Uncharacterized protein		UP000007014: Chromosome 13	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	integral component of membrane [GO:0016021]			integral component of membrane [GO:0016021]	GO:0016021						Membrane;Reference proteome;Transmembrane;Transmembrane helix			Compositional bias (2); Region (4); Transmembrane (1)	cme:CYME_CMM305C;
CMM306C	M1V917	M1V917_CYAM1	CYME_CMM306C				CYME_CMM306C	Uncharacterized protein		UP000007014: Chromosome 13	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	integral component of membrane [GO:0016021]			integral component of membrane [GO:0016021]	GO:0016021						Membrane;Reference proteome;Transmembrane;Transmembrane helix			Transmembrane (3)	cme:CYME_CMM306C;
CMM307C	M1V5R5	M1V5R5_CYAM1	CYME_CMM307C				CYME_CMM307C	Similar to DNA binding protein, dead ringer		UP000007014: Chromosome 13	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	brahma complex [GO:0035060]; SWI/SNF complex [GO:0016514]; DNA binding [GO:0003677]; chromatin remodeling [GO:0006338]	chromatin remodeling [GO:0006338]	DNA binding [GO:0003677]	brahma complex [GO:0035060]; SWI/SNF complex [GO:0016514]	GO:0003677; GO:0006338; GO:0016514; GO:0035060						Reference proteome			Domain (1); Region (2)	cme:CYME_CMM307C;
CMM308C	M1UTK1	M1UTK1_CYAM1	CYME_CMM308C				CYME_CMM308C	Uncharacterized protein		UP000007014: Chromosome 13	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed											Reference proteome			Compositional bias (2); Region (2)	cme:CYME_CMM308C;
CMM309C	M1VE21	M1VE21_CYAM1	CYME_CMM309C				CYME_CMM309C	Similar to WD-repeat protein aladin		UP000007014: Chromosome 13	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed											Reference proteome			Region (1)	cme:CYME_CMM309C;
CMM310C	M1VIV6	M1VIV6_CYAM1	CYME_CMM310C				CYME_CMM310C	NAD(P)-bd_dom domain-containing protein		UP000007014: Chromosome 13	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed											Reference proteome			Domain (1)	cme:CYME_CMM310C;
CMM311C	M1V919	M1V919_CYAM1	CYME_CMM311C CYME_CMS056C				CYME_CMM311C CYME_CMS056C	CTP:phosphatidate cytidylyltransferase, phosphatidate cytidylyltransferase (Probable phosphatidate cytidylyltransferase)		UP000007014: Chromosome 13, UP000007014: Chromosome 19	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	integral component of membrane [GO:0016021]; nucleotidyltransferase activity [GO:0016779]		nucleotidyltransferase activity [GO:0016779]	integral component of membrane [GO:0016021]	GO:0016021; GO:0016779						Membrane;Nucleotidyltransferase;Reference proteome;Transferase;Transmembrane;Transmembrane helix			Region (1); Transmembrane (6)	cme:CYME_CMM311C;cme:CYME_CMS056C;
CMM314C	M1V5R6	M1V5R6_CYAM1	CYME_CMM314C				CYME_CMM314C	Alanine--tRNA ligase (EC 6.1.1.7) (Alanyl-tRNA synthetase) (AlaRS)	FUNCTION: Catalyzes the attachment of alanine to tRNA(Ala) in a two-step reaction: alanine is first activated by ATP to form Ala-AMP and then transferred to the acceptor end of tRNA(Ala). Also edits incorrectly charged tRNA(Ala) via its editing domain. {ECO:0000256|HAMAP-Rule:MF_03133}.	UP000007014: Chromosome 13	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	mitochondrion [GO:0005739]; alanine-tRNA ligase activity [GO:0004813]; ATP binding [GO:0005524]; tRNA binding [GO:0000049]; zinc ion binding [GO:0008270]; mitochondrial alanyl-tRNA aminoacylation [GO:0070143]	mitochondrial alanyl-tRNA aminoacylation [GO:0070143]	alanine-tRNA ligase activity [GO:0004813]; ATP binding [GO:0005524]; tRNA binding [GO:0000049]; zinc ion binding [GO:0008270]	mitochondrion [GO:0005739]	GO:0000049; GO:0004813; GO:0005524; GO:0005739; GO:0008270; GO:0070143					Zn(2+) [CHEBI:29105]	ATP-binding;Aminoacyl-tRNA synthetase;Coiled coil;Cytoplasm;Ligase;Metal-binding;Mitochondrion;Nucleotide-binding;Protein biosynthesis;RNA-binding;Reference proteome;Zinc;tRNA-binding			Coiled coil (1); Compositional bias (1); Domain (1); Metal binding (4); Region (2)	cme:CYME_CMM314C;
CMM315C	M1UTK4	M1UTK4_CYAM1	CYME_CMM315C				CYME_CMM315C	Uncharacterized protein		UP000007014: Chromosome 13	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	holo-[acyl-carrier-protein] synthase activity [GO:0008897]; magnesium ion binding [GO:0000287]		holo-[acyl-carrier-protein] synthase activity [GO:0008897]; magnesium ion binding [GO:0000287]		GO:0000287; GO:0008897						Reference proteome			Region (1)	cme:CYME_CMM315C;
CMM316C	M1VE26	M1VE26_CYAM1	CYME_CMM316C				CYME_CMM316C	Homeotic gene regulator BRAHMA		UP000007014: Chromosome 13	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	nucleus [GO:0005634]; ATP binding [GO:0005524]; histone binding [GO:0042393]; nucleosome-dependent ATPase activity [GO:0070615]		ATP binding [GO:0005524]; histone binding [GO:0042393]; nucleosome-dependent ATPase activity [GO:0070615]	nucleus [GO:0005634]	GO:0005524; GO:0005634; GO:0042393; GO:0070615						ATP-binding;Coiled coil;Nucleotide-binding;Reference proteome			Coiled coil (2); Compositional bias (7); Domain (3); Region (4)	cme:CYME_CMM316C;
CMM317C	M1VIW0	M1VIW0_CYAM1	CYME_CMM317C				CYME_CMM317C	Probable starch/glycogen synthase		UP000007014: Chromosome 13	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	transferase activity, transferring glycosyl groups [GO:0016757]		transferase activity, transferring glycosyl groups [GO:0016757]		GO:0016757						Glycosyltransferase;Reference proteome;Transferase			Compositional bias (2); Domain (3); Region (3)	cme:CYME_CMM317C;
CMM318C	M1V921	M1V921_CYAM1	CYME_CMM318C				CYME_CMM318C	Glutamyl-tRNA(Gln) amidotransferase subunit A, mitochondrial (Glu-AdT subunit A) (EC 6.3.5.7)	FUNCTION: Allows the formation of correctly charged Gln-tRNA(Gln) through the transamidation of misacylated Glu-tRNA(Gln) in the mitochondria. The reaction takes place in the presence of glutamine and ATP through an activated gamma-phospho-Glu-tRNA(Gln). {ECO:0000256|HAMAP-Rule:MF_03150}.	UP000007014: Chromosome 13	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	glutamyl-tRNA(Gln) amidotransferase complex [GO:0030956]; mitochondrion [GO:0005739]; ATP binding [GO:0005524]; glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity [GO:0050567]; hydrolase activity [GO:0016787]; transferase activity [GO:0016740]; glutaminyl-tRNAGln biosynthesis via transamidation [GO:0070681]; mitochondrial translation [GO:0032543]	glutaminyl-tRNAGln biosynthesis via transamidation [GO:0070681]; mitochondrial translation [GO:0032543]	ATP binding [GO:0005524]; glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity [GO:0050567]; hydrolase activity [GO:0016787]; transferase activity [GO:0016740]	glutamyl-tRNA(Gln) amidotransferase complex [GO:0030956]; mitochondrion [GO:0005739]	GO:0005524; GO:0005739; GO:0016740; GO:0016787; GO:0030956; GO:0032543; GO:0050567; GO:0070681						ATP-binding;Ligase;Mitochondrion;Nucleotide-binding;Protein biosynthesis;Reference proteome;Transferase			Active site (3); Domain (1)	cme:CYME_CMM318C;
CMM320C	M1V5R7	M1V5R7_CYAM1	CYME_CMM320C				CYME_CMM320C	Uncharacterized protein		UP000007014: Chromosome 13	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed											Reference proteome			Compositional bias (1); Region (1)	cme:CYME_CMM320C;
CMM321C	M1UTK9	M1UTK9_CYAM1	CYME_CMM321C				CYME_CMM321C	RNA polymerase III subunit		UP000007014: Chromosome 13	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	nucleolus [GO:0005730]; nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]; transcription, DNA-templated [GO:0006351]; tRNA 3'-trailer cleavage [GO:0042779]	transcription, DNA-templated [GO:0006351]; tRNA 3'-trailer cleavage [GO:0042779]	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]	nucleolus [GO:0005730]	GO:0003676; GO:0005730; GO:0006351; GO:0008270; GO:0042779						Metal-binding;Reference proteome;Zinc;Zinc-finger			Compositional bias (1); Domain (1); Region (1); Zinc finger (1)	cme:CYME_CMM321C;
CMM323C	M1VE31	M1VE31_CYAM1	CYME_CMM323C				CYME_CMM323C	Ribonucleoside-diphosphate reductase (EC 1.17.4.1)	FUNCTION: Provides the precursors necessary for DNA synthesis. Catalyzes the biosynthesis of deoxyribonucleotides from the corresponding ribonucleotides. {ECO:0000256|RuleBase:RU003410}.	UP000007014: Chromosome 13	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	ATP binding [GO:0005524]; ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor [GO:0004748]; deoxyribonucleoside triphosphate biosynthetic process [GO:0009202]; DNA replication [GO:0006260]; response to cadmium ion [GO:0046686]	deoxyribonucleoside triphosphate biosynthetic process [GO:0009202]; DNA replication [GO:0006260]; response to cadmium ion [GO:0046686]	ATP binding [GO:0005524]; ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor [GO:0004748]		GO:0004748; GO:0005524; GO:0006260; GO:0009202; GO:0046686						ATP-binding;Allosteric enzyme;DNA replication;Disulfide bond;Nucleotide-binding;Oxidoreductase;Reference proteome			Domain (1)	cme:CYME_CMM323C;
CMM324C	M1VIW4	M1VIW4_CYAM1	CYME_CMM324C				CYME_CMM324C	Uncharacterized protein		UP000007014: Chromosome 13	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed											Reference proteome				cme:CYME_CMM324C;
CMM325C	M1V923	M1V923_CYAM1	CYME_CMM325C				CYME_CMM325C	Similar to RNA polymerase III transcription factor TFIIIC		UP000007014: Chromosome 13	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	transcription by RNA polymerase III [GO:0006383]	transcription by RNA polymerase III [GO:0006383]			GO:0006383						Reference proteome;TPR repeat			Compositional bias (3); Domain (1); Region (3); Repeat (2)	cme:CYME_CMM325C;
CMM326C	M1V5R8	M1V5R8_CYAM1	CYME_CMM326C				CYME_CMM326C	Serine/threonine-protein kinase IRE1		UP000007014: Chromosome 13	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; protein kinase activity [GO:0004672]; ribonuclease activity [GO:0004540]; mRNA processing [GO:0006397]	mRNA processing [GO:0006397]	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]; ribonuclease activity [GO:0004540]	integral component of membrane [GO:0016021]	GO:0004540; GO:0004672; GO:0005524; GO:0006397; GO:0016021						Kinase;Membrane;Reference proteome;Signal;Transferase;Transmembrane;Transmembrane helix			Chain (1); Compositional bias (4); Domain (2); Region (6); Signal peptide (1); Transmembrane (1)	cme:CYME_CMM326C;
CMM328C	M1UTL4	M1UTL4_CYAM1	CYME_CMM328C				CYME_CMM328C	Similar to acid phosphatase 2, lysosomal		UP000007014: Chromosome 13	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	integral component of membrane [GO:0016021]			integral component of membrane [GO:0016021]	GO:0016021						Membrane;Reference proteome;Signal;Transmembrane;Transmembrane helix			Chain (1); Compositional bias (2); Region (3); Signal peptide (1); Transmembrane (1)	cme:CYME_CMM328C;
CMM329C	M1VE37	M1VE37_CYAM1	CYME_CMM329C				CYME_CMM329C	Similar to ATP-dependent RNA helicase		UP000007014: Chromosome 13	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	ATP binding [GO:0005524]; helicase activity [GO:0004386]; hydrolase activity [GO:0016787]; RNA binding [GO:0003723]		ATP binding [GO:0005524]; helicase activity [GO:0004386]; hydrolase activity [GO:0016787]; RNA binding [GO:0003723]		GO:0003723; GO:0004386; GO:0005524; GO:0016787						ATP-binding;Helicase;Hydrolase;Nucleotide-binding;RNA-binding;Reference proteome			Compositional bias (1); Domain (3); Motif (1); Region (3)	cme:CYME_CMM329C;
CMM331C	M1VIW7	M1VIW7_CYAM1	CYME_CMM331C				CYME_CMM331C	Bromo domain-containing protein		UP000007014: Chromosome 13	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed											Bromodomain;Reference proteome			Compositional bias (1); Domain (1); Region (3)	cme:CYME_CMM331C;
CMM332C	M1V926	M1V926_CYAM1	CYME_CMM332C				CYME_CMM332C	Uncharacterized protein		UP000007014: Chromosome 13	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	chloroplast thylakoid membrane [GO:0009535]; phycobilisome [GO:0030089]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]	photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]		chloroplast thylakoid membrane [GO:0009535]; phycobilisome [GO:0030089]	GO:0009535; GO:0015979; GO:0018298; GO:0030089						Antenna complex;Bile pigment;Chloroplast;Chromophore;Electron transport;Membrane;Photosynthesis;Phycobilisome;Plastid;Reference proteome;Thylakoid;Transport			Region (1)	cme:CYME_CMM332C;
CMM334C	M1V5R9	M1V5R9_CYAM1	CYME_CMM334C				CYME_CMM334C	Similar to mitochondrial carrier protein		UP000007014: Chromosome 13	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	integral component of membrane [GO:0016021]; transmembrane transport [GO:0055085]	transmembrane transport [GO:0055085]		integral component of membrane [GO:0016021]	GO:0016021; GO:0055085						Membrane;Reference proteome;Repeat;Transmembrane;Transmembrane helix;Transport			Repeat (3); Transmembrane (1)	cme:CYME_CMM334C;
CMM335C	M1UTL7	M1UTL7_CYAM1	CYME_CMM335C				CYME_CMM335C	Similar to CCR4-NOT transcription complex, subunit 4		UP000007014: Chromosome 13	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	CCR4-NOT complex [GO:0030014]; nucleic acid binding [GO:0003676]; ubiquitin-protein transferase activity [GO:0004842]		nucleic acid binding [GO:0003676]; ubiquitin-protein transferase activity [GO:0004842]	CCR4-NOT complex [GO:0030014]	GO:0003676; GO:0004842; GO:0030014						Coiled coil;Metal-binding;Reference proteome;Zinc;Zinc-finger			Coiled coil (1); Domain (1); Region (1)	cme:CYME_CMM335C;
CML001C	M1V8H7	M1V8H7_CYAM1	CYME_CML001C CYME_CMN001C				CYME_CML001C CYME_CMN001C	Dolichyl-phosphate-mannose--protein mannosyltransferase (EC 2.4.1.109)	FUNCTION: Transfers mannose from Dol-P-mannose to Ser or Thr residues on proteins. {ECO:0000256|RuleBase:RU367007}.	UP000007014: Chromosome 12	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; dolichyl-phosphate-mannose-protein mannosyltransferase activity [GO:0004169]		dolichyl-phosphate-mannose-protein mannosyltransferase activity [GO:0004169]	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]	GO:0004169; GO:0005789; GO:0016021						Endoplasmic reticulum;Glycosyltransferase;Membrane;Reference proteome;Transferase;Transmembrane;Transmembrane helix			Compositional bias (1); Domain (2); Region (1); Transmembrane (3)	cme:CYME_CML001C;cme:CYME_CMN001C;
CML002C	M1V681	M1V681_CYAM1	CYME_CML002C CYME_CMQ002C				CYME_CML002C CYME_CMQ002C	Uncharacterized protein		UP000007014: Chromosome 12, UP000007014: Chromosome 17	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	integral component of membrane [GO:0016021]			integral component of membrane [GO:0016021]	GO:0016021						Membrane;Reference proteome;Transmembrane;Transmembrane helix			Transmembrane (1)	cme:CYME_CML002C;cme:CYME_CMQ002C;
CML003C	M1UVE9	M1UVE9_CYAM1	CYME_CML003C CYME_CMQ003C				CYME_CML003C CYME_CMQ003C	Uncharacterized protein		UP000007014: Chromosome 12, UP000007014: Chromosome 17	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	cytoplasm [GO:0005737]; nucleus [GO:0005634]			cytoplasm [GO:0005737]; nucleus [GO:0005634]	GO:0005634; GO:0005737						Cytoplasm;Nucleus;Reference proteome			Region (3)	cme:CYME_CML003C;cme:CYME_CMQ003C;
CML004C	M1VD58	M1VD58_CYAM1	CYME_CML004C				CYME_CML004C	Similar to high-affinity iron permease		UP000007014: Chromosome 12	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	high-affinity iron permease complex [GO:0033573]; iron ion transmembrane transporter activity [GO:0005381]		iron ion transmembrane transporter activity [GO:0005381]	high-affinity iron permease complex [GO:0033573]	GO:0005381; GO:0033573						Membrane;Reference proteome;Transmembrane;Transmembrane helix			Transmembrane (11)	cme:CYME_CML004C;
CML005C	M1VI08	M1VI08_CYAM1	CYME_CML005C				CYME_CML005C	Similar to dTDP-4-dehydrorhamnose reductase		UP000007014: Chromosome 12	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed											Reference proteome			Compositional bias (1); Domain (1); Region (1)	cme:CYME_CML005C;
CML007C	M1URZ4	M1URZ4_CYAM1	CYME_CMJ313C CYME_CML007C CYME_CMQ006C				CYME_CMJ313C CYME_CML007C CYME_CMQ006C	dTDP-glucose 4,6-dehydratase		UP000007014: Chromosome 10	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	dTDP-glucose 4,6-dehydratase activity [GO:0008460]; nucleotide-sugar metabolic process [GO:0009225]	nucleotide-sugar metabolic process [GO:0009225]	dTDP-glucose 4,6-dehydratase activity [GO:0008460]		GO:0008460; GO:0009225					NAD(+) [CHEBI:57540]	Reference proteome			Compositional bias (1); Domain (1); Region (1)	cme:CYME_CMJ313C;cme:CYME_CML007C;cme:CYME_CMQ006C;
CML009C	M1V5G9	M1V5G9_CYAM1	CYME_CML009C				CYME_CML009C	Probable vesicle transport related protein SLY1		UP000007014: Chromosome 12	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	vesicle-mediated transport [GO:0016192]	vesicle-mediated transport [GO:0016192]			GO:0016192						Coiled coil;Reference proteome			Coiled coil (1); Compositional bias (1); Region (2)	cme:CYME_CML009C;
CML010C	M1USH9	M1USH9_CYAM1	CYME_CML010C				CYME_CML010C	Similar to DNA topoisomerase VI subunit A		UP000007014: Chromosome 12	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	chromosome [GO:0005694]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; endodeoxyribonuclease activity, producing 3'-phosphomonoesters [GO:0016889]; isomerase activity [GO:0016853]; metal ion binding [GO:0046872]		ATP binding [GO:0005524]; DNA binding [GO:0003677]; endodeoxyribonuclease activity, producing 3'-phosphomonoesters [GO:0016889]; isomerase activity [GO:0016853]; metal ion binding [GO:0046872]	chromosome [GO:0005694]	GO:0003677; GO:0005524; GO:0005694; GO:0016853; GO:0016889; GO:0046872					Mg(2+) [CHEBI:18420]	Isomerase;Magnesium;Metal-binding;Reference proteome			Domain (1)	cme:CYME_CML010C;
CML011C	M1VD61	M1VD61_CYAM1	CYME_CML011C				CYME_CML011C	Transcriptional regulator bolA		UP000007014: Chromosome 12	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed											Reference proteome				cme:CYME_CML011C;
CML012C	M1VI11	M1VI11_CYAM1	CYME_CML012C				CYME_CML012C	Uncharacterized protein		UP000007014: Chromosome 12	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed											Reference proteome			Compositional bias (3); Region (2)	cme:CYME_CML012C;
CML014C	M1V8I1	M1V8I1_CYAM1	CYME_CML014C				CYME_CML014C	Lipoyl(octanoyl) transferase (EC 2.3.1.181)		UP000007014: Chromosome 12	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	ligase activity [GO:0016874]; lipoyl(octanoyl) transferase activity [GO:0033819]; octanoyl transferase activity (acting on glycine-cleavage complex H protein) [GO:0102555]; protein lipoylation [GO:0009249]	protein lipoylation [GO:0009249]	ligase activity [GO:0016874]; lipoyl(octanoyl) transferase activity [GO:0033819]; octanoyl transferase activity (acting on glycine-cleavage complex H protein) [GO:0102555]		GO:0009249; GO:0016874; GO:0033819; GO:0102555						Acyltransferase;Ligase;Reference proteome;Transferase			Active site (1); Domain (1); Site (1)	cme:CYME_CML014C;
